Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2023,Spring,2023-sp,ABE,141,ABE Principles: Biological,LEC,0,5,4,6,5,2,0,3,1,0,1,0,0,0,"Leonelli, Laurie B"
2023,Spring,2023-sp,ABE,152,Water in Global Environment,ONL,55,115,0,4,9,0,0,1,0,1,2,0,5,1,"Kalita, Prasanta K"
2023,Spring,2023-sp,ABE,232,Context Intl Interventions,OLC,3,13,5,5,1,0,0,0,0,0,0,0,0,0,"Witmer, Ann-Perry"
2023,Spring,2023-sp,ABE,425,Engrg Measurement Systems,LCD,0,22,0,2,0,0,0,0,0,0,0,0,0,0,"Grift, Tony E"
2023,Spring,2023-sp,ABE,457,NPS Pollution Processes,LCD,1,14,4,0,2,0,0,1,0,0,0,0,0,0,"Bhattarai, Rabin"
2023,Spring,2023-sp,ABE,498,Special Topics,LCD,2,38,9,2,3,0,0,0,0,0,0,0,0,1,"Wang, Xinlei"
2023,Spring,2023-sp,AE,140,CAD,LCD,1,30,6,2,2,4,1,2,0,0,1,0,0,0,"Laystrom-Woodar, Julia K"
2023,Spring,2023-sp,AE,140,CAD,LCD,5,30,4,3,2,2,1,1,1,0,0,0,1,0,"Laystrom-Woodar, Julia K"
2023,Spring,2023-sp,AE,202,Aerospace Flight Mechanics,LCD,90,34,4,3,4,1,0,1,0,0,0,0,0,1,"Wroblewski, Gabrielle E"
2023,Spring,2023-sp,AE,311,Incompressible Flow,LEC,3,7,4,2,3,2,0,1,0,0,2,0,2,0,"Saxton-Fox, Theresa A"
2023,Spring,2023-sp,AE,312,Compressible Flow,LCD,3,20,10,14,22,14,9,6,5,3,3,2,3,0,"Panerai, Francesco"
2023,Spring,2023-sp,AE,321,Mechs of Aerospace Structures,LEC,2,9,2,5,3,6,2,3,3,3,1,1,4,0,"Khanbolouki, Pouria"
2023,Spring,2023-sp,AE,323,Applied Aerospace Structures,LCD,1,14,2,3,28,5,3,21,8,4,7,0,8,0,"Lambros, John"
2023,Spring,2023-sp,AE,352,Aerospace Dynamical Systems,LEC,6,7,8,7,7,3,7,3,6,0,1,1,0,0,"Langbort, Cedric"
2023,Spring,2023-sp,AE,353,Aerospace Control Systems,LCD,0,47,33,19,12,4,2,2,0,0,1,0,1,0,"Bretl, Timothy W"
2023,Spring,2023-sp,AE,370,Aerospace Numerical Methods,LCD,4,67,29,13,8,2,0,0,4,3,0,2,2,0,"Goza, Andres J"
2023,Spring,2023-sp,AE,419,Aircraft Flight Mechanics,LCD,20,27,2,2,2,0,1,0,0,0,0,0,0,0,"Wroblewski, Gabrielle E"
2023,Spring,2023-sp,AE,434,Rocket Propulsion,LCD,0,3,1,15,3,3,0,2,2,0,0,0,0,1,"Levin Fliflet, Deborah"
2023,Spring,2023-sp,AE,435,Electric Space Propulsion,LCD,0,5,4,2,7,5,1,4,3,0,5,0,0,1,"Rovey, Joshua L"
2023,Spring,2023-sp,AE,443,Aerospace Systems Design II,LCD,0,12,17,8,6,0,0,0,0,0,0,0,0,0,"Merret, Jason M"
2023,Spring,2023-sp,AE,443,Aerospace Systems Design II,LCD,0,23,24,15,24,1,0,0,0,0,0,0,0,0,"Lembeck, Michael F"
2023,Spring,2023-sp,AE,461,Structures & Control Lab,LCD,1,31,41,23,18,6,2,2,0,0,0,0,0,0,"Chasiotis, Ioannis"
2023,Spring,2023-sp,AE,498,Intro to Human Spaceflight,LEC,0,24,10,7,8,1,0,0,0,0,0,0,0,0,"Lembeck, Michael F"
2023,Spring,2023-sp,AE,502,Advanced Orbital Mechanics,LCD,15,2,2,3,1,1,0,0,2,0,0,1,0,0,"Eggl, Siegfried"
2023,Spring,2023-sp,AE,504,Optimal Aerospace Systems,LEC,2,8,4,2,6,1,1,4,1,0,0,0,0,1,"Ornik, Melkior"
2023,Spring,2023-sp,AE,515,Wing Theory,LCD,2,12,3,0,2,2,2,0,0,0,0,0,0,1,"Ansell, Phillip J"
2023,Spring,2023-sp,BIOE,120,Introduction to Bioengineering,LEC,81,21,5,0,1,4,0,0,0,0,0,0,0,0,"Best-Popescu, Catherine A"
2023,Spring,2023-sp,BIOE,202,Cell & Tissue Engineering Lab,LEC,0,3,7,12,18,14,16,4,6,1,0,2,1,0,"Perez Pinera, Pablo"
2023,Spring,2023-sp,BIOE,205,Signals & Systems in Bioengrg,LCD,6,12,13,9,9,14,9,6,5,2,1,1,1,0,"Abraham, Ivan T"
2023,Spring,2023-sp,BIOE,210,Linear Alg for Biomed Data Sci,LEC,19,13,16,13,9,7,6,4,3,0,3,0,0,0,"Insana, Michael"
2023,Spring,2023-sp,BIOE,310,Comp Tools Bio Data,LEC,9,22,8,8,9,13,6,2,1,0,0,1,0,1,"Maslov, Sergei"
2023,Spring,2023-sp,BIOE,414,Biomedical Instrumentation,DIS,7,14,5,3,12,3,3,3,2,2,2,0,2,1,"Irudayaraj, Joseph M"
2023,Spring,2023-sp,BIOE,420,Intro Bio Control Systems,LEC,11,60,7,2,10,3,0,0,0,0,0,0,0,0,"Monroy, Guillermo L"
2023,Spring,2023-sp,BIOE,435,Senior Design I,LCD,16,17,8,2,3,0,0,0,0,0,0,0,0,0,"Golecki, Holly M"
2023,Spring,2023-sp,BIOE,436,Senior Design II,ONL,17,17,7,2,3,0,0,0,0,0,0,0,0,0,"Golecki, Holly M"
2023,Spring,2023-sp,BIOE,479,Cancer Nanotechnology,LCD,7,16,12,6,0,0,0,0,0,0,0,0,0,0,"Nie, Shuming"
2023,Spring,2023-sp,BIOE,487,Stem Cell Bioengineering,LEC,14,14,15,1,3,0,0,0,0,0,0,0,0,0,"Underhill, Gregory H"
2023,Spring,2023-sp,BIOE,498,Regulatory & Safety Issues,LEC,17,13,3,0,2,0,0,0,0,0,0,0,0,0,"Amos, Jennifer"
2023,Spring,2023-sp,BIOE,598,Regulatory & Safety Issues,LEC,12,8,1,0,0,0,1,0,0,0,0,0,0,0,"Amos, Jennifer"
2023,Spring,2023-sp,CEE,201,Systems Engrg & Economics,LCD,0,10,10,7,7,4,4,3,1,1,0,0,0,0,"Kontou, Eleftheria"
2023,Spring,2023-sp,CEE,202,Engineering Risk & Uncertainty,LCD,22,57,16,12,3,1,1,0,0,0,0,0,0,0,"Tessum, Christopher M"
2023,Spring,2023-sp,CEE,300,Behavior of Materials,LCD,2,4,5,17,25,13,6,11,7,3,3,2,2,0,"Popovics, John S"
2023,Spring,2023-sp,CEE,310,Transportation Engineering,LCD,0,4,4,5,10,5,5,2,0,2,1,0,0,0,"Lehe, Lewis J"
2023,Spring,2023-sp,CEE,330,Environmental Engineering,LCD,0,10,25,25,21,6,3,3,0,0,0,0,0,0,"Nguyen, Thanh H"
2023,Spring,2023-sp,CEE,350,Water Resources Engineering,LCD,0,15,4,9,7,4,1,4,1,0,0,1,1,0,"Ghadiri, Maryam"
2023,Spring,2023-sp,CEE,360,Structural Engineering,LCD,14,19,6,7,9,3,2,1,0,0,0,0,0,0,"Cha, Eun Jeong"
2023,Spring,2023-sp,CEE,380,Geotechnical Engineering,LCD,9,10,3,5,2,2,2,0,0,0,0,0,1,0,"Baser, Tugce"
2023,Spring,2023-sp,CEE,411,RR Project Design & Constr,LCD,5,2,3,5,5,0,1,0,0,0,0,0,0,0,"Edwards, John R"
2023,Spring,2023-sp,CEE,415,Geometric Design of Roads,LCD,2,12,2,4,1,0,0,0,0,0,0,0,0,0,"Talebpour, Alireza"
2023,Spring,2023-sp,CEE,420,Construction Productivity,LCD,0,32,13,12,13,8,3,2,2,0,0,2,0,0,"Ignacio, Ernest-John D"
2023,Spring,2023-sp,CEE,420,Construction Productivity,ONL,0,6,11,8,2,2,1,2,0,0,0,0,0,0,"Ignacio, Ernest-John D"
2023,Spring,2023-sp,CEE,433,Water Technology and Policy,LCD,3,12,1,3,4,2,0,0,0,0,0,0,1,0,"Stillwell, Ashlynn S"
2023,Spring,2023-sp,CEE,460,Steel Structures I,LCD,2,16,5,7,7,5,2,1,0,1,1,0,0,0,"Lombardo, Franklin T"
2023,Spring,2023-sp,CEE,461,Reinforced Concrete I,LCD,5,14,7,8,10,6,6,2,1,0,1,0,0,0,"Henschen, Jacob D"
2023,Spring,2023-sp,CEE,462,Steel Structures II,LCD,2,16,6,4,4,0,0,2,0,0,0,0,0,0,"Fahnestock, Larry A"
2023,Spring,2023-sp,CEE,465,Design of Structural Systems,LCD,3,6,6,7,1,0,0,0,0,0,0,0,0,0,"Sychterz, Ann C"
2023,Spring,2023-sp,CEE,470,Structural Analysis,LCD,4,10,3,5,4,4,0,4,0,0,2,0,0,0,"Zhang, Xiaojia"
2023,Spring,2023-sp,CEE,498,Construction Safety,LCD,2,35,19,15,5,2,2,2,1,0,0,0,0,0,"Ignacio, Ernest-John D"
2023,Spring,2023-sp,CEE,528,Construction Data Modeling,LCD,5,15,7,3,2,1,0,0,0,0,0,0,0,0,"El-Gohary, Nora"
2023,Spring,2023-sp,CEE,570,Finite Element Methods,LCD,5,5,7,7,6,4,0,0,0,0,0,0,0,0,"Lopez-Pamies, Oscar"
2023,Spring,2023-sp,CEE,592,Sustainable Urban Systems,LCD,33,0,0,0,2,0,0,0,0,0,0,0,0,0,"Zhao, Lei"
2023,Spring,2023-sp,CS,101,Intro Computing: Engrg & Sci,LEC,59,403,72,32,26,16,12,8,7,6,3,1,11,1,"Tahboub, Ruby"
2023,Spring,2023-sp,CS,105,Intro Computing: Non-Tech,LEC,13,98,54,51,59,32,23,31,12,10,12,8,17,5,"Lewis, Colleen M"
2023,Spring,2023-sp,CS,124,Intro to Computer Science I,OLC,0,466,80,44,37,20,12,11,5,5,5,4,22,4,"Challen, Geoffrey W"
2023,Spring,2023-sp,CS,128,Intro to Computer Science II,OLC,0,683,40,57,42,30,10,17,6,0,16,2,50,11,"Nowak, Michael"
2023,Spring,2023-sp,CS,173,Discrete Structures,LEC,38,80,61,36,41,23,14,12,13,12,6,6,10,2,"Cosman, Benjamin L"
2023,Spring,2023-sp,CS,173,Discrete Structures,LEC,24,87,68,55,67,41,27,19,13,20,7,8,9,4,"Delgosha, Payam"
2023,Spring,2023-sp,CS,210,Ethical & Professional Issues,LCD,2,40,8,6,7,2,0,1,0,0,0,0,0,0,"Cunningham, Ryan M"
2023,Spring,2023-sp,CS,211,Ethical & Professional Conduct,LCD,5,73,11,11,8,2,0,6,0,0,1,0,1,0,"Cunningham, Ryan M"
2023,Spring,2023-sp,CS,222,Software Design Lab,LBD,0,308,28,13,6,4,0,0,1,0,0,0,3,0,"Woodley, Michael J"
2023,Spring,2023-sp,CS,225,Data Structures,LEC,10,307,44,36,32,14,16,13,12,6,9,4,15,3,"Evans, Graham C"
2023,Spring,2023-sp,CS,225,Data Structures,OLC,0,65,17,9,11,13,7,10,2,2,2,2,14,0,"Evans, Graham C"
2023,Spring,2023-sp,CS,233,Computer Architecture,LEC,24,144,6,2,22,1,1,3,2,0,1,0,3,1,"Herman, Geoffrey L"
2023,Spring,2023-sp,CS,233,Computer Architecture,LEC,27,114,6,1,16,2,1,6,0,0,3,0,1,0,"Herman, Geoffrey L"
2023,Spring,2023-sp,CS,277,Algo & Data Stru for Data Sci,LEC,6,5,1,3,7,3,1,2,1,0,0,0,0,0,"Solomon, Brad R"
2023,Spring,2023-sp,CS,340,Intro to Computer Systems,LEC,26,61,21,17,8,4,7,2,2,0,4,0,10,0,"Fagen-Ulmschnei, Wade A"
2023,Spring,2023-sp,CS,341,System Programming,LEC,101,108,23,13,6,3,9,4,3,0,3,2,4,2,"Angrave, Lawrence"
2023,Spring,2023-sp,CS,357,Numerical Methods I,OLC,10,113,34,23,12,11,9,10,8,3,4,4,1,2,"Silva, Mariana T"
2023,Spring,2023-sp,CS,357,Numerical Methods I,LCD,12,82,23,14,15,6,5,3,4,2,2,0,0,0,"Silva, Mariana T"
2023,Spring,2023-sp,CS,361,Prob & Stat for Computer Sci,LEC,112,66,48,35,23,16,8,11,5,2,2,1,6,2,"Liu, Hongye"
2023,Spring,2023-sp,CS,374,Intro to Algs & Models of Comp,LEC,39,105,46,41,25,48,26,25,14,7,6,11,7,3,"Chekuri, Chandra S"
2023,Spring,2023-sp,CS,374,Intro to Algs & Models of Comp,LEC,22,48,47,27,20,7,0,5,4,4,1,1,8,1,"Kani, Nickvash"
2023,Spring,2023-sp,CS,402,Accel Fund of Computing II,ONL,7,11,1,4,0,1,0,0,0,0,1,0,0,0,"Williams, Tiffani L"
2023,Spring,2023-sp,CS,403,Accel Fund of Algorithms II,ONL,6,7,4,2,3,4,1,0,0,0,0,0,0,0,"Gertner, Yael"
2023,Spring,2023-sp,CS,411,Database Systems,ONL,123,175,12,12,3,6,0,0,3,0,1,0,0,1,"Chang, Kevin C"
2023,Spring,2023-sp,CS,411,Database Systems,LCD,14,327,59,18,8,9,3,6,7,1,0,0,2,0,"Alawini, Abdussalam A"
2023,Spring,2023-sp,CS,412,Introduction to Data Mining,ONL,29,53,23,17,15,3,0,2,0,0,0,0,2,1,"Han, Jiawei"
2023,Spring,2023-sp,CS,412,Introduction to Data Mining,LCD,9,70,43,37,26,8,4,4,0,0,2,0,1,1,"Tong, Hanghang"
2023,Spring,2023-sp,CS,415,Game Development,LCD,19,82,10,7,5,5,0,5,4,0,0,0,0,0,"Shaffer, Eric G"
2023,Spring,2023-sp,CS,418,Interactive Computer Graphics,OLC,8,27,4,2,5,3,4,1,2,1,1,0,10,0,"Tychonievich, Luther A"
2023,Spring,2023-sp,CS,418,Interactive Computer Graphics,ONL,3,23,3,1,1,0,0,0,0,0,1,1,3,3,"Tychonievich, Luther A"
2023,Spring,2023-sp,CS,420,Parallel Progrmg: Sci & Engrg,LCD,9,16,10,5,1,0,0,0,0,0,0,0,0,0,"Kanakagiri, Raghavendra"
2023,Spring,2023-sp,CS,421,Progrmg Languages & Compilers,LCD,101,123,31,23,22,15,8,11,10,7,7,6,14,0,"Gunter, Elsa"
2023,Spring,2023-sp,CS,421,Progrmg Languages & Compilers,OLC,5,10,2,3,2,2,1,2,0,2,0,0,0,0,"Gunter, Elsa"
2023,Spring,2023-sp,CS,425,Distributed Systems,LCD,13,25,36,26,26,17,14,3,6,3,1,0,3,1,"Mittal, Radhika"
2023,Spring,2023-sp,CS,431,Embedded Systems,LEC,11,9,6,1,2,0,0,0,0,0,0,0,0,0,"Sha, Lui R"
2023,Spring,2023-sp,CS,433,Computer System Organization,LCD,4,13,10,3,2,4,0,1,1,0,0,0,0,0,"Fletcher, Christopher W"
2023,Spring,2023-sp,CS,437,Topics in Internet of Things,ONL,43,18,3,1,2,1,0,0,0,0,0,0,1,0,"Caesar, Matthew C"
2023,Spring,2023-sp,CS,437,Topics in Internet of Things,ONL,72,44,8,3,2,2,0,0,0,0,2,0,0,0,"Caesar, Matthew C"
2023,Spring,2023-sp,CS,438,Communication Networks,LCD,10,48,50,28,22,2,0,0,0,0,0,0,3,0,"Vasisht, Deepak"
2023,Spring,2023-sp,CS,440,Artificial Intelligence,LCD,31,158,86,65,66,17,9,17,2,1,3,4,7,0,"Hasegawa-Johnso, Mark A"
2023,Spring,2023-sp,CS,441,Applied Machine Learning,ONL,18,160,37,14,1,3,0,1,0,1,0,0,0,2,"Morales Aguirre, Marco An"
2023,Spring,2023-sp,CS,441,Applied Machine Learning,LCD,284,23,11,5,4,1,2,2,2,0,0,0,5,0,"Hoiem, Derek W"
2023,Spring,2023-sp,CS,443,Reinforcement Learning,LEC,10,12,6,7,12,5,4,0,0,1,1,1,0,2,"Jiang, Nan"
2023,Spring,2023-sp,CS,444,Deep Learning for Compt Visn,LCD,51,171,3,7,15,3,1,5,0,0,1,0,2,1,"Lazebnik, Svetlana"
2023,Spring,2023-sp,CS,445,Computational Photography,ONL,33,40,24,9,4,2,1,3,0,2,1,1,2,0,"Wang, Yuxiong"
2023,Spring,2023-sp,CS,445,Computational Photography,ONL,9,22,16,7,2,2,0,2,0,2,2,1,2,3,"Wang, Yuxiong"
2023,Spring,2023-sp,CS,446,Machine Learning,ONL,11,43,39,23,12,9,5,7,1,0,2,2,0,1,"Telgarsky, Matus J"
2023,Spring,2023-sp,CS,447,Natural Language Processing,LCD,33,47,36,16,5,6,2,1,0,0,0,0,2,0,"Hockenmaier, Julia C"
2023,Spring,2023-sp,CS,448,Audio Computing Laboratory,LCD,31,27,7,0,5,0,0,3,0,0,0,0,1,0,"Smaragdis, Paris"
2023,Spring,2023-sp,CS,450,Numerical Analysis,LCD,15,18,17,20,7,11,5,1,1,1,1,0,2,0,"Solomonik, Edgar V"
2023,Spring,2023-sp,CS,461,Computer Security I,LCD,10,12,21,14,21,15,11,11,7,3,3,4,3,0,"Levchenko, Kirill I"
2023,Spring,2023-sp,CS,463,Computer Security II,ONL,42,13,16,6,5,0,2,0,0,0,1,0,2,1,"Wang, Gang"
2023,Spring,2023-sp,CS,463,Computer Security II,ONL,37,2,3,1,0,1,0,1,0,0,0,0,1,0,"Wang, Gang"
2023,Spring,2023-sp,CS,464,Topics in Societal Impacts,LCD,12,22,1,3,2,1,0,0,0,0,0,0,0,0,"Cobb, Camille M"
2023,Spring,2023-sp,CS,469,Comp Adv Infrastructure,LCD,23,41,7,1,2,0,0,1,0,0,0,0,0,0,"Sundaram, Hari"
2023,Spring,2023-sp,CS,473,Algorithms,LEC,6,13,20,17,12,9,5,1,3,0,2,0,3,0,"Chan, Timothy M"
2023,Spring,2023-sp,CS,477,Formal Software Devel Methods,LCD,13,18,19,12,6,3,2,0,0,0,0,0,2,1,"Singh, Gagandeep"
2023,Spring,2023-sp,CS,498,Cloud Computing Applications,ONL,28,81,12,4,15,1,1,2,0,1,2,0,0,0,"Farivar, Reza"
2023,Spring,2023-sp,CS,498,Cloud Computing Applications,ONL,47,142,33,22,43,6,5,5,1,0,1,0,2,1,"Farivar, Reza"
2023,Spring,2023-sp,CS,498,Intro to Machine Perception,LEC,35,14,1,1,3,0,0,0,0,0,1,0,2,0,"Wang, Shenlong"
2023,Spring,2023-sp,CS,500,Topics in Comp Ed Rsrch,LCD,1,17,2,1,1,1,0,0,0,0,0,0,0,0,"Cunningham, Kathryn I"
2023,Spring,2023-sp,CS,510,Advanced Information Retrieval,LCD,45,32,9,2,3,0,0,0,0,0,0,0,0,0,"Zhai, Chengxiang"
2023,Spring,2023-sp,CS,523,Advanced Operating Systems,LCD,5,13,6,5,0,0,0,0,0,0,0,0,0,0,"Xu, Tianyin"
2023,Spring,2023-sp,CS,525,Advanced Distributed Systems,LEC,4,11,10,6,7,0,0,0,0,0,0,0,0,0,"Gupta, Indranil"
2023,Spring,2023-sp,CS,527,Topics in Software Engineering,LEC,0,17,8,3,0,0,0,0,0,0,0,0,0,0,"Zhang, Lingming"
2023,Spring,2023-sp,CS,538,Advanced Computer Networks,LEC,3,32,19,3,2,0,0,0,0,0,0,0,0,0,"Godfrey, Philip B"
2023,Spring,2023-sp,CS,565,Human-Computer Interaction,LEC,2,72,22,8,8,2,1,2,0,0,0,0,0,0,"Bailey, Brian P"
2023,Spring,2023-sp,CS,568,User-Centered Machine Learning,LCD,52,13,4,0,0,0,0,1,0,0,0,0,0,0,"Kumar, Ranjitha"
2023,Spring,2023-sp,CS,598,Deep Lrng for Healthcare,ONL,139,96,39,18,10,5,0,1,0,0,0,0,2,1,"Sun, Jimeng"
2023,Spring,2023-sp,CS,598,Transfer Learning,LCD,3,72,8,0,5,0,0,1,0,0,0,0,1,0,"Zhao, Han"
2023,Spring,2023-sp,CS,598,ML for Software Engineering,LCD,6,15,2,6,1,1,0,0,0,0,0,0,0,0,"Jabbarvand Behr, Reyhaneh"
2023,Spring,2023-sp,CS,598,Deep Learning For Healthcare,ONL,12,11,4,0,0,1,0,0,0,0,0,0,0,0,"Sun, Jimeng"
2023,Spring,2023-sp,ECE,110,Introduction to Electronics,OLC,6,14,6,10,8,4,4,2,2,2,0,0,4,1,"Gilbert, Matthew"
2023,Spring,2023-sp,ECE,110,Introduction to Electronics,LEC,17,30,21,19,17,8,6,10,3,3,4,0,8,2,"Schuh, Jonathon K"
2023,Spring,2023-sp,ECE,110,Introduction to Electronics,LEC,7,22,5,10,11,6,2,8,1,2,7,2,4,1,"Choi, Hyungsoo"
2023,Spring,2023-sp,ECE,110,Introduction to Electronics,LEC,19,25,10,12,12,12,9,7,7,6,1,2,15,2,"Shao, Yang V"
2023,Spring,2023-sp,ECE,120,Introduction to Computing,LEC,23,26,13,8,11,4,1,1,0,1,1,0,2,0,"Bhowmik, Ujjal K"
2023,Spring,2023-sp,ECE,120,Introduction to Computing,LEC,20,29,12,7,9,6,2,2,1,1,2,0,1,1,"Dong, Roy"
2023,Spring,2023-sp,ECE,120,Introduction to Computing,LEC,25,16,15,11,8,4,4,1,1,1,0,0,3,1,"Aggarwal, Anu"
